,codigo,setor,precoAtual,liquidezDiaria,dividendo,dividendYield,dividendYieldAnual,variacaoPreco,pvp,vacanciaFisica,vacanciaFinanceira
0,AAZQ11,,"R$ 9,64",55865.0,"R$ 0,13","1,35%","2,90%","-0,72%","1,00",N/A,N/A
1,ABCP11,Shoppings,"R$ 64,85",798.0,"R$ 0,50","0,77%","1,53%","-2,90%","0,71","7,50%",N/A
2,AFHI11,Títulos e Val. Mob.,"R$ 92,21",7009.0,"R$ 1,06","1,12%","2,24%","0,57%","0,97",N/A,N/A
3,AGRX11,,"R$ 10,69",10183.0,"R$ 0,18","1,68%","3,24%","4,29%",N/A,N/A,N/A
4,AIEC11,Lajes Corporativas,"R$ 60,64",3907.0,"R$ 0,75","1,22%","1,49%","-7,46%","0,64","0,00%",N/A
5,ALMI11,Lajes Corporativas,"R$ 742,02",14.0,"R$ 0,00","0,00%","0,00%","2,27%","0,37","64,05%",N/A
6,ALZM11,Títulos e Val. Mob.,"R$ 83,36",2828.0,"R$ 0,85","1,01%","2,11%","5,63%","0,87",N/A,N/A
7,ALZR11,Logística,"R$ 112,00",6636.0,"R$ 0,82","0,74%","1,46%","0,09%","1,05","0,00%",N/A
8,APTO11,Híbrido,"R$ 8,56",1931.0,"R$ 0,10","1,23%","2,38%","-6,44%","0,86",N/A,N/A
9,ARCT11,,,,"R$ 0,39","0,44%","13,92%","-0,42%","0,87",N/A,N/A
10,ARRI11,Títulos e Val. Mob.,"R$ 8,86",34865.0,"R$ 0,11","1,24%","3,38%","-4,73%","1,00",N/A,N/A
11,ATSA11,Shoppings,"R$ 73,00",9.0,"R$ 0,05","0,07%","0,13%","0,00%","0,89","21,90%",N/A
12,BARI11,Títulos e Val. Mob.,"R$ 78,92",12920.0,"R$ 0,90","1,07%","2,06%","-8,06%","0,83",N/A,N/A
13,BBFI11B,Lajes Corporativas,"R$ 1.401,00",116.0,"R$ 27,08","1,30%","2,59%","-0,43%","0,49","39,11%",N/A
14,BBFO11,Títulos e Val. Mob.,"R$ 64,20",8021.0,"R$ 0,73","1,11%","2,26%","-0,87%","0,82",N/A,N/A
15,BBGO11,Títulos e Val. Mob.,"R$ 77,72",890.0,"R$ 0,87","1,09%","2,17%","-1,18%","0,80",N/A,N/A
16,BBIM11,Títulos e Val. Mob.,N/A,N/A,"R$ 0,15","0,00%",N/A,"0,00%",N/A,N/A,N/A
17,BBPO11,Lajes Corporativas,"R$ 84,31",14470.0,"R$ 0,90","1,10%","2,14%","-5,90%","0,84","0,00%","0,00%"
18,BBRC11,Outros,"R$ 93,51",967.0,"R$ 0,99","1,05%","2,08%","-0,85%","0,87","5,37%","1,08%"
19,BCFF11,Títulos e Val. Mob.,"R$ 61,50",30448.0,"R$ 0,56","0,89%","1,78%","0,67%","0,81",N/A,N/A
20,BCIA11,Títulos e Val. Mob.,"R$ 80,74",3814.0,"R$ 0,78","0,97%","2,83%","-1,54%","0,83",N/A,N/A
21,BCRI11,Títulos e Val. Mob.,"R$ 78,09",19089.0,"R$ 0,80","0,84%","1,85%","-4,49%","0,78",N/A,N/A
22,BDIF11,Renda,"R$ 82,10",15200.0,"R$ 1,00","0,00%",N/A,"0,00%",N/A,N/A,N/A
23,BICE11,Títulos e Val. Mob.,"R$ 999,00",3.0,"R$ 12,63","1,30%","3,16%","-1,12%","1,03",N/A,N/A
24,BICR11,Títulos e Val. Mob.,"R$ 100,57",1.0,"R$ 0,72","0,73%","1,53%","0,34%","1,01",N/A,N/A
25,BIDB11,Renda,"R$ 87,50",343.0,"R$ 1,30","1,49%","1,49%","0,00%",N/A,N/A,N/A
26,BIME11,,"R$ 6,72",8784.0,"R$ 0,08","1,08%","2,12%","-4,16%","0,75",N/A,N/A
27,BLCA11,Lajes Corporativas,"R$ 110,00",3.0,"R$ 0,58","0,50%","1,17%","33,71%","0,77","0,00%",N/A
